,model.name,model.title,citation.openAccessPdf,manual,Secondary use of the <model.name> (if applicable),Citation Sentence,Does the paper introduce a new model?,"If yes, what is the name of the model? (not named is fine)",Does the paper use AI model?,"If yes, which model it is using?",Notes,MCLLM,MC
287,LDM-1.45B,High-Resolution Image Synthesis with Latent Diffusion Models,https://arxiv.org/pdf/2312.08494,Motivation,Uses,"Diffusion models [4, 5, 6] have shown unprecedented success in multiple modalities, such as text-conditional image and audio generation [7, 8], de novo protein design [9], natural language processing [10], and medical imaging [11, 12]. For an extensive survey on the current state of diffusion models and their applications, see [13].",yes,PerMod,yes,Difussion Models,"Towards allowing greater perceptual control over voice, we introduce PerMod, a conditional latent diffusion model that takes in an input voice and a perceptual qualities vector, and produces a voice with the matching perceptual qualities.",background,background
288,Maxout Networks,Maxout Networks,https://www.frontiersin.org/articles/10.3389/fpls.2020.611622/pdf,Uses,,"Multilayer perceptron is a powerful machine learning technique that can characterize the features of the samples and learn the appropriate classification features from the samples (Goodfellow et al., 2016).",no,,yes,Multilayer perceptrons and Vector Machine,"We used hyperspectral imaging data and machine learning to explore the possibility of fast, accurate and automated discrimination of weeds in pastures where ryegrass and clovers are the sown species.",background,background
289,A3C FF hs,Asynchronous Methods for Deep Reinforcement Learning,http://arxiv.org/pdf/2302.02298,Uses,,"This means that one can select other feature extraction models to replace VGG-16 in the first block and can also consider other state-of-the-art algorithms [13]–[15] instead of A3C [31] that is implemented in [21], as long as it can approximate a value function [4].",no,,yes,Deep Reinforced Learning,"In this paper, we review two publications that investigate the mentioned issues of DRL and propose effective solutions.",background,background
291,YOLOv3,YOLOv3: An Incremental Improvement,https://dl.acm.org/doi/pdf/10.1145/3581783.3612412,Background,,"While many architectures have attempted to train on different scales [11, 31], they are all data-driven and fail to provide the necessary guarantees.",yes,ScaleFlow,yes,Neural Networks,"To overcome these limitations, in this work, we propose ScaleFlow, a closed-loop scale-adaptive inference that can reduce model inference time by progressively processing vision data with increasing resolution but decreasing spatial size, achieving speedup without compromising accuracy",motivation,motivation
292,,,,Background,,"However, they only provide a way of quantifying class uncertainty, not location uncertainty [11, 29– 31, 42, 44].",yes,ScaleFlow,yes,Neural Networks,"To overcome these limitations, in this work, we propose ScaleFlow, a closed-loop scale-adaptive inference that can reduce model inference time by progressively processing vision data with increasing resolution but decreasing spatial size, achieving speedup without compromising accuracy",background,background
293,,,,Differences,,"We select several representative object detection neural network models, YOLOv3 [31], CenterNet [44], RetinaNet [23], and FCOS [37] to evaluate our ScaleFlow as an object-detection service with both live streaming from a webcam and pseudo streaming from the COCO dataset [24].",yes,ScaleFlow,yes,Neural Networks,"To overcome these limitations, in this work, we propose ScaleFlow, a closed-loop scale-adaptive inference that can reduce model inference time by progressively processing vision data with increasing resolution but decreasing spatial size, achieving speedup without compromising accuracy",uses,uses
294,,,,Uses,,"In this section, we explore opportunities for improving neural network speed through scale-adaptive designs, using a motivational study with YOLOv3 [31] object detection on COCO dataset [24].",yes,ScaleFlow,yes,Neural Networks,"To overcome these limitations, in this work, we propose ScaleFlow, a closed-loop scale-adaptive inference that can reduce model inference time by progressively processing vision data with increasing resolution but decreasing spatial size, achieving speedup without compromising accuracy",uses,uses
295,,,,Differences,,"We choose five neural network architectures designed for object detection, YOLOv3 [31], CenterNet [44], RetinaNet [23], and FCOS [37], EfficientDet [36]. Due to space constraints, some experiments only use YOLOv3 and CenterNet as representative anchorbased and anchor-free model",yes,ScaleFlow,yes,Neural Networks,"To overcome these limitations, in this work, we propose ScaleFlow, a closed-loop scale-adaptive inference that can reduce model inference time by progressively processing vision data with increasing resolution but decreasing spatial size, achieving speedup without compromising accuracy",uses,uses
296,WizardCoder-15.5B,WizardCoder: Empowering Code Large Language Models with Evol-Instruct,https://arxiv.org/pdf/2310.05103,Motivation,,"Recently, WizardCoder (Luo et al., 2023) significantly outperforms other open-source Code LLMs by employing the Evol-Instruct method for complex instruction fine-tuning.",no,,yes,DetectGPT,"This work proposes a training-free approach for the detection of LLMs-generated codes, mitigating the risks associated with their indiscriminate usage.",background,background
297,ShuffleNet v1,ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices,https://arxiv.org/pdf/2308.13343,Motivation,,"There are architectures like Structured transform networks [11], Deep fried convnets [15], Shufflenet [19] which have considered computational aspects as well",yes,SaEnet,yes,CNN,"We propose SaEnet, Squeeze aggregated excitation network, for learning global channelwise representation in between layers.",background,background
298,VQGAN + CLIP,Taming Transformers for High-Resolution Image Synthesis,https://arxiv.org/pdf/2304.08945,Background,,"From then on, transformer-based models have been exploited for different tasks, including object detection [29], image generation [30]), video understanding [31], etc.",yes,DIRFA,yes,transformer architecture,"This paper presents DIRFA, a novel method that can generate talking faces with diverse yet realistic facial animations from the same driving audio.",background,background
299,BellKor 2007,The BellKor solution to the Netflix Prize,https://ojs.aaai.org/index.php/ICWSM/article/download/15013/14863,Background,,Such applications have made extensive use of Matrix Factorization methods that have been popularized during the Netflix Prize (Bell and Koren 2007).,yes,,no,,"However, collaboration patterns are difficult to capture when the relationships between users are not directly observable, since they need to be inferred from the user actions. In this work, we propose a solution to this problem by adopting a systemic view of collaboration.",background,background
300,Transformer + Simple Recurrent Unit,Simple Recurrent Units for Highly Parallelizable Recurrence,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08786773.pdf,Motivation,,"The first architecture of RNNs is based on the simple recurrent units (SRUs), which is simple and fast. However, it suffers from the vanishing gradient problem [29].",yes,,yes,SRUs and GRUs in neural networks,"In this paper, we propose an effective multi-sensors-based framework for human activity recognition using a hybrid deep learning model, which combines the simple recurrent units (SRUs) with the gated recurrent units (GRUs) of neural networks.",motivation,motivation
301,Conformer + Wav2vec 2.0 + Noisy Student,Pushing the Limits of Semi-Supervised Learning for Automatic Speech Recognition,http://arxiv.org/pdf/2210.07677,Differences,,"Namely, we compare against the high-performing self-supervised speech representations models wav2vec 2.0 [2], Conformer [23], and w2v-BERT models [4].",yes,TransFusion,yes,LibriSpeech,"Specifically, we propose TransFusion: a transcribing diffusion model which iteratively denoises a random character sequence into coherent text corresponding to the transcript of a conditioning utterance",uses,uses
302,,,,Differences,,"We compare against three state-of-the-art models for ASR: wav2vec 2.0 [2], Conformer [23], and w2v-BERT [4].",yes,TransFusion,yes,LibriSpeech,"Specifically, we propose TransFusion: a transcribing diffusion model which iteratively denoises a random character sequence into coherent text corresponding to the transcript of a conditioning utterance",uses,uses
303,,,,Differences,,"This differs from the baselines, all of which have been trained with substantial data augmentation to further improve performance [2, 23, 4].",yes,TransFusion,yes,LibriSpeech,"Specifically, we propose TransFusion: a transcribing diffusion model which iteratively denoises a random character sequence into coherent text corresponding to the transcript of a conditioning utterance",differences,differences
304,LSTM with forget gates,Learning to Forget: Continual Prediction with LSTM,https://www.mdpi.com/2075-1680/12/3/266/pdf?version=1679978199,Background,,"Different types of ANNs include shallow networks, deep networks, convolutional neural networks (CNNs), and recurrent neural networks (RNNs) [29,30].",no,,yes,long short-term memory (LSTM),"In the current study, the use of an LSTM and a bidirectional LSTM (BiLSTM) is proposed for dealing with a data collection that, besides the time series values denoting the solar energy generation, also comprises corresponding information about the weather.",background,background
305,Part-of-sentence tagging model,End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF,https://www.aclweb.org/anthology/2020.coling-main.245.pdf,Uses,,"Secondly, we propose to use a BiLSTM-CNN architecture (Ma, 2016) that integrates character embeddings as additional features, using a convolution layer.",no,,yes,Neural Networks,"Since the MEDIA task seems to be one of the most difficult, according to several previous studies, we propose to explore Neural Networks approaches focusing of three aspects: firstly, the Neural Network inputs and more specifically the word embeddings; secondly, we compared French version of BERT against the best setup through different ways; Finally, the comparison against State-of-the-Art approaches.",uses,uses
306,,,,Extends,,"To further improve the performance of our SLU model, we propose to use a BiLSTM-CNN (convolutional neural network) architecture (Ma, 2016) that integrates character embeddings using a convolution layer, in addition to the word embeddings.",no,,yes,Neural Networks,"Since the MEDIA task seems to be one of the most difficult, according to several previous studies, we propose to explore Neural Networks approaches focusing of three aspects: firstly, the Neural Network inputs and more specifically the word embeddings; secondly, we compared French version of BERT against the best setup through different ways; Finally, the comparison against State-of-the-Art approaches.",uses,uses
307,,,,Extends,,"In this section, we propose to use a BiLSTM-CNN architecture (Ma, 2016) that integrates character embeddings as additional features, using a convolution layer.",no,,yes,Neural Networks,"Since the MEDIA task seems to be one of the most difficult, according to several previous studies, we propose to explore Neural Networks approaches focusing of three aspects: firstly, the Neural Network inputs and more specifically the word embeddings; secondly, we compared French version of BERT against the best setup through different ways; Finally, the comparison against State-of-the-Art approaches.",uses,uses
308,Unsupervised Scale-Invariant Learning,Object class recognition by unsupervised scale-invariant learning,https://isprs-archives.copernicus.org/articles/XL-1-W1/333/2013/isprsarchives-XL-1-W1-333-2013.pdf,Background,,"Later, Webber et. al (2000) represent objects as constellations of rigid parts, and recognized objects with a join probability density function on the shape of rigid parts by similarity matching. Fergus et. al (2003) and Opelt et. al (2004) proposed category models composed of some more flexible parts, and estimated the parameters of the parts using expectation-maximization algorithm.",yes,hierarchical semantic graph model,no,,"In this paper, we propose a hierarchical semantic graph model to detect and recognize man-made objects in high resolution remote sensing images automatically.",background,background
309,ProGen2-xlarge,ProGen2: Exploring the Boundaries of Protein Language Models,https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1011162&type=printable,Background,,"Recently, self-supervised masked language models of biological sequences have been used to study proteins [14–21], DNA [22], RNA [23, 24], and glycans [25, 26].",yes,,yes,BERT,"Here, we introduce a selfsupervised learning approach designed to identify and characterize BGCs from such data.",background,background
311,GSM,Gated Self-Matching Networks for Reading Comprehension and Question Answering,https://ojs.aaai.org/index.php/AAAI/article/download/4591/4469,Background,,"It means that hp, the state at the position that we attend to, is used for comparing with the sentence representations to encode position information, and ht is used for matching the sentence representations against itself (self-matching) to collect information from the context (Wang et al. 2017).",yes,,yes,NLP,"To this end, we first design a tagging scheme to generate n tag sequences for an n-word sentence. Then a position-attention mechanism is introduced to produce different sentence representations for every query position to model these n tag sequences. In this way, our method can simultaneously extract all entities and their type, as well as all overlapping relations",background,background
312,,,,Motivation,,"Attention mechanisms are used to model dependencies of input and output sequences, and are successfully applied in various NLP tasks (Bahdanau, Cho, and Bengio 2014; Vaswani et al. 2017; Cheng, Dong, and Lapata 2016; Wang et al. 2017",yes,,yes,NLP,"To this end, we first design a tagging scheme to generate n tag sequences for an n-word sentence. Then a position-attention mechanism is introduced to produce different sentence representations for every query position to model these n tag sequences. In this way, our method can simultaneously extract all entities and their type, as well as all overlapping relations",background,background
313,Part-of-sentence tagging model,End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF,https://arxiv.org/pdf/2008.12014,Extends,,"For both PoS tagging and NER, we experiment with an established neural sequence tagging model, dubbed BILSTM-CNN-CRF, introduced by Ma and Hovy [22].",yes,GREEK-BERT,yes,NLP,"In this paper, we present GREEK-BERT, a monolingual BERT-based language model for modern Greek.",uses,uses
314,ALIGN,Scaling Up Visual and Vision-Language Representation Learning With Noisy Text Supervision,http://arxiv.org/pdf/2304.09172,Uses,,"Approaches such as CLIP (Radford et al., 2021) and ALIGN (Jia et al., 2021) have catalyzed a lot of recent progress in computer vision by showing that Transformer-based (Vaswani et al., 2017) models trained using large amounts of image-text data from the internet can yield transferable representations, and such models can perform zero-shot recognition and retrieval using natural language queries.",yes,MERU,yes,CLIP,"We propose MERU, a contrastive model that yields hyperbolic representations of images and text.",background,background
315,,,,Uses,,"Our method conceptually resembles current state-of-the-art contrastive methods (Jia et al., 2021; Radford et al., 2021).",yes,MERU,yes,CLIP,"We propose MERU, a contrastive model that yields hyperbolic representations of images and text.",similarities,similarities
316,,,,Uses,,"More recent approaches like CLIP (Radford et al., 2021) and ALIGN (Jia et al., 2021) use contrastive metric learning to pre-train Vision Transformers (Dosovitskiy et al., 2021) and have helped to better realize the motivations of the earlier works in practice.",yes,MERU,yes,CLIP,"We propose MERU, a contrastive model that yields hyperbolic representations of images and text.",background,background
318,EDSR,Enhanced Deep Residual Networks for Single Image Super-Resolution,https://www.mdpi.com/1424-8220/23/21/8717/pdf?version=1698285540,Background,,"For example, EDSR [26] has more than 40M parameters, and the huge computing power requirement makes it almost impossible to deploy in embedded devices, which limits its practical application",yes,dynamic attention mechanism-based thermal image super-resolution network (LDASRNet),yes,"shallow feature extraction (SFE) module, a deep feature extraction (DFE) module and a feature reconstruction (FRec) module.","In this paper, we propose a dynamic attention mechanism-based thermal image super-resolution network for infrared sensors. Specifically, the dynamic attention modules adaptively reweight the outputs of the attention and non-attention branches according to features at different depths of the network",motivation,motivation
319,,,,Differences,,"Unlike SRResNet [33], EDSR [26] consists of 32 residual blocks that remove batch normalization, reducing memory consumption and artifacts",yes,dynamic attention mechanism-based thermal image super-resolution network (LDASRNet),yes,"shallow feature extraction (SFE) module, a deep feature extraction (DFE) module and a feature reconstruction (FRec) module.","In this paper, we propose a dynamic attention mechanism-based thermal image super-resolution network for infrared sensors. Specifically, the dynamic attention modules adaptively reweight the outputs of the attention and non-attention branches according to features at different depths of the network",background,background
320,,,,Differences,,"To verify that LDASRNet has comparable or even better performance than larger networks, we select models AWSRN [65], SRMDNF [67], CARN [68], ChaSNet [44], MPRANet [1] and MDSR [26] with parameters ranging from 1.4M to 6.5M for comparison.",yes,dynamic attention mechanism-based thermal image super-resolution network (LDASRNet),yes,"shallow feature extraction (SFE) module, a deep feature extraction (DFE) module and a feature reconstruction (FRec) module.","In this paper, we propose a dynamic attention mechanism-based thermal image super-resolution network for infrared sensors. Specifically, the dynamic attention modules adaptively reweight the outputs of the attention and non-attention branches according to features at different depths of the network",uses,uses
321,,,,Differences,,"In addition, we select RCAN [24] and EDSR [26], two networks with parameters exceeding 10M (EDSR has more than 40M parameters) as reference.",yes,dynamic attention mechanism-based thermal image super-resolution network (LDASRNet),yes,"shallow feature extraction (SFE) module, a deep feature extraction (DFE) module and a feature reconstruction (FRec) module.","In this paper, we propose a dynamic attention mechanism-based thermal image super-resolution network for infrared sensors. Specifically, the dynamic attention modules adaptively reweight the outputs of the attention and non-attention branches according to features at different depths of the network",uses,uses
322,Megatron-BERT,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,https://www.nature.com/articles/s41746-022-00742-2.pdf,Uses,,We used a total number of 992 NVIDIA DGX A100 GPUs from 124 superPOD nodes at UF’s HiPerGator-AI cluster to train GatorTron models by leveraging both data-level and model-level parallelisms implemented by the Megatron-LM package [43].,no,,yes,GatorTron,We examine how (1) scaling up the number of parameters and (2) scaling up the size of the training data could benefit these NLP tasks.,uses,uses
323,LSTM,Long Short-Term Memory,https://journal.uob.edu.bh:443/bitstream/123456789/5190/3/IJCDS150130_1570911792.pdf,Uses,,We employed VGG16 [20] and LSTM [21] networks for image captioning. Figure 3 block diagram for image captioning.,yes,CNBD-Combinational Network for Bullying Detection,yes,Binary Encoder Image Transformer (BEiT) and Multi-Layer Perceptron (MLP) network,"We proposed a deep learning technique named as CNBD-Combinational Network for Bullying Detection (CNBD), which is a combination of two networks: Binary Encoder Image Transformer (BEiT) and Multi-Layer Perceptron (MLP) network.",uses,uses
324,Galactica,Galactica: A Large Language Model for Science,http://arxiv.org/pdf/2305.16636,Uses,,"When constructing our training set, we use incontext few-shot learning with the 6.7B parameter version of Galactica (Taylor et al., 2022).",yes,DataFinder Dataset,yes,GPT-3 and Galactica,"To facilitate this task, we build the DataFinder Dataset which consists of a larger automatically-constructed training set (17.5K queries) and a smaller expertannotated evaluation set (392 queries).",uses,uses
325,,,,Uses,,"We simulate query collection with the 6.7B parameter version of Galactica (Taylor et al., 2022), a large scientific language model that supports fewshot learning.",yes,DataFinder Dataset,yes,GPT-3 and Galactica,"To facilitate this task, we build the DataFinder Dataset which consists of a larger automatically-constructed training set (17.5K queries) and a smaller expertannotated evaluation set (392 queries).",uses,uses
326,,,,Uses,,"To encourage more efficient labeling (Wang et al., 2021), we provided autosuggestions for each field from GPT-3 (Brown et al., 2020) and Galactica 6.7B (Taylor et al., 2022) to help annotators.",yes,DataFinder Dataset,yes,GPT-3 and Galactica,"To facilitate this task, we build the DataFinder Dataset which consists of a larger automatically-constructed training set (17.5K queries) and a smaller expertannotated evaluation set (392 queries).",uses,uses
327,Meena,Towards a Human-like Open-Domain Chatbot,https://arxiv.org/pdf/2010.03450,Background,,"However, recent success on many language understanding problems (Wang et al., 2019), the impressive generation capabilities of modern dialog systems (Zhang et al., 2019; Adiwardana et al., 2020), as well as the huge interest in yes/no question-answering (Choi et al., 2018; Clark et al., 2019) have created a conducive environment for revisiting this hard task.",yes,Circa,no,,"We create and release1 the first large-scale English language corpus ‘Circa’ with 34,268 (polar question, indirect answer) pairs to enable progress on this task.",background,background
328,LDA,Latent Dirichlet Allocation,https://arxiv.org/pdf/2310.07739,Uses,,LDA works by selecting the number of clusters that yielded the largest coherence value [49].,no,,yes,LDA,"In this paper, we investigate the supply-demand dynamics of the four presidential candidates of Taiwan, using 911,510 Facebook posts from public figures, pages, and public groups, provided by CrowdTangle.",background,background
329,,,,Uses,,"After filtering the data sources by policy issues and candidates, we employed the two keyword extraction methods: frequency counts and Latent Dirichlet Allocation (LDA) for topic modeling.",no,,yes,LDA,"In this paper, we investigate the supply-demand dynamics of the four presidential candidates of Taiwan, using 911,510 Facebook posts from public figures, pages, and public groups, provided by CrowdTangle.",uses,uses
330,DINOv2,DINOv2: Learning Robust Visual Features without Supervision,http://arxiv.org/pdf/2305.19256,Uses,,"Specifically, we generate 10000 images from each model and we use DINO [9]-v2 [42] to compute top-1 similarity to the training images.",yes,first diffusion-based framework that can learn an unknown distribution,yes,DINOv2,We present the first diffusion-based framework that can learn an unknown distribution using only highly-corrupted samples.,uses,uses
331,Temporal Convolutional Attention-based Network(TCAN) (WT2),Temporal Convolutional Attention-based Network For Sequence Modeling,https://arxiv.org/pdf/2211.13114,Future Work,,Our future work will investigate modifying TCNs [27] and attentionbased TCNs [28] to handle variable-length sequences and applying them to signal-level SC.,no,,yes,LSTM,"To circumvent these requirements, we present a novel SC approach utilizing many-to-one attention-based LSTM. With the proposed LSTM network, SC is solved as a regression problem, taking the entire sensor signal as input and the step count as the output. The analysis shows that the attention-based LSTM automatically learned the pattern of steps even in the absence of groundtruth labels.",future_work,future_work
333,Enhanced Neighborhood-Based Filtering,Scalable Collaborative Filtering with Jointly Derived Neighborhood Interpolation Weights,https://arxiv.org/pdf/1509.09130,Motivation,,Taking into account the popularity of items in order to improve the recommendation has been considered before by [8] who design a greedy sequential preprocessing procedure aimed at subtracting different explanatory effects that may have an influence on the data,no,,no,,"In this contribution, we provide statistical evidence that existing movie recommendation datasets reveal a significant positive association between the rating of items and the propensity to select these items.",background,background
334,,,,Background,,These include standard user and item rating effects as well as popularity —referred to as “support” in [8]— and time-related effects,no,,no,,"In this contribution, we provide statistical evidence that existing movie recommendation datasets reveal a significant positive association between the rating of items and the propensity to select these items.",background,background
335,,,,Motivation,,"Interestingly, [8] uses successive Bayesian regressions for each effect to reduce the variability inherent in using a linear model with many missing observations.",no,,no,,"In this contribution, we provide statistical evidence that existing movie recommendation datasets reveal a significant positive association between the rating of items and the propensity to select these items.",background,background
336,,,,Future Work,,"An alternative would be to use a Bayesian mean estimate, as in [8], to shrink the estimates towards the global mean rating for scarcely observed items.",no,,no,,"In this contribution, we provide statistical evidence that existing movie recommendation datasets reveal a significant positive association between the rating of items and the propensity to select these items.",background,background
337,Llama 2-70B,Llama 2: Open Foundation and Fine-Tuned Chat Models,https://www.biorxiv.org/content/biorxiv/early/2023/11/29/2023.11.28.568945.full.pdf,Background,,"In recent years, generative models have emerged as powerful tools for generating creative and diverse content, ranging from text [15]–[17], images [18], [19] to speech [20] and more",no,,yes,LLM,"In particular, we introduce an optimization pipeline that utilizes Large Language Models (LLMs) to pinpoint the mutation hotspots in the sequence and then suggest replacements to improve the overall fitness.",background,background
338,Meta Pseudo Labels,Meta Pseudo Labels,https://arxiv.org/pdf/2208.12633,Differences,,"Other research fields include semi-supervised learning, where only parts of the data are annotated (Pham et al., 2021), and synthetic datasets, where more training data are generated (Xu et al., 2019).",no,,yes,Extreme Gradient Boosting (XGBoost),The limitations can be overcome by proposing a pipeline to process remote sensing images into feature-based representations that allow the employment of Extreme Gradient Boosting (XGBoost) for yield prediction.,background,background
339,Deep LSTM for video classification,Beyond short snippets: Deep networks for video classification,https://www.nature.com/articles/s41598-023-35938-3.pdf,Uses,,The target model consists of an LSTM-CNN encoder [101] and a classifcation head Ht.,yes,,yes,CT,"To address this problem, we develop a three-level optimization based method which leverages CT data from a source domain to mitigate the lack of labeled CT scans in a target domain. Our method automatically identifes and downweights low-quality source CT data examples which are noisy or have large domain discrepancy with target data, by minimizing the validation loss of a target model trained on reweighted source data.",uses,uses
340,RBM-tuning,A Practical Guide to Training Restricted Boltzmann Machines,https://arxiv.org/pdf/1812.05477,Motivation,,Replacing binary units with Gaussian units can be performed by modifying the energy function [12].,yes, GPDB,yes,ShapeOdd,In this paper we present a generative model of shapes which provides a low dimensional latent encoding which importantly resides on a smooth manifold with respect to the silhouette images.,background,background
341,VQGAN + CLIP,Taming Transformers for High-Resolution Image Synthesis,https://arxiv.org/pdf/2308.15300,Differences,,"Unlike the widely-used generative models including GANs [48], [49] and VAEs [39], [50], which learn the data distribution by a proxy adversarial task or maximizing the ELBO, the flow models explicitly estimate arbitrary data distribution through the bijective invertible normalizing flows",yes,MSFlow,yes,Real-NVP,"o generalize the anomaly size variation, we propose a novel Multi-Scale Flow-based framework dubbed MSFlow composed of asymmetrical parallel flows followed by a fusion flow to exchange multi-scale perceptions.",differences,differences
342,XLM,Cross-lingual Language Model Pretraining,https://jurnal.stmikroyal.ac.id/index.php/jurteksi/article/download/2492/1253,Uses,,Can predict the next token in sequence because it is trained with Casual Language Modeling (CLM) goals[17].,no,,yes,GPT-2,"This research proposes a Transformer model with an Attention mechanism that can fetch important information, solve parallelization problems, and summarize long texts. The Transformer model we propose is GPT-2.",background,background
346,OpenAI Five,Dota 2 with Large Scale Deep Reinforcement Learning,https://arxiv.org/pdf/2104.07294,Background,,"Several methods have been proposed to try to either reduce the space of actions by re-using model outputs for different action types [2], [3], provide side information to facilitate the exploration of large numbers of possible actions [4]–[6], or simplify the manipulation of the action spaces through action embeddings via mechanisms such as attention and graphs networks [7]–[9]. I",yes,Conditional Action Trees,no,,,background,background
347,"Variational (untied weights, MC) LSTM (Large)",A Theoretically Grounded Application of Dropout in Recurrent Neural Networks,https://aclanthology.org/2021.acl-long.101.pdf,Background,,"Moreover, we include variational dropout (Gal and Ghahramani, 2016) as a comparison since it was used in a previous work on zero-shot translation (Pham et al., 2019) instead of the standard element-wise dropout.",yes,"Transformer
(Vaswani et al., 2017) with 5 encoder and decoder
layers. For the Europarl datasets with more training data, we enlarge the model to 8 encoder and
decoder layers.",no,,"Found this very interesting, it involves translations",uses,uses
348,Fast R-CNN,Fast R-CNN,https://wepub.org/index.php/TCSISR/article/download/369/341,Uses,,"In the development process of target detection algorithm, there are two branches, one is RCNN, fast RCNN and fast CNN, i.e. fastrcnn series [13-16], in which RCNN generates 1k~2k candidate boxes from a graph, extracts features from candidate regions and sends them to SVM classifier, and uses regression to refine the position.",yes,e BSSD algorithm based on SSD algorithm,yes,Fast R-CNN,,background,background
349,"MSRA (C, PReLU)",Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,http://www.cell.com/article/S2405844023052945/pdf,Background,,"It would be equally true that the DNN performance is heavily affected by the weight parameter initialization methods [55,56].",no,,no,,,background,background
350,GPipe (Transformer),GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,https://dl.acm.org/doi/pdf/10.1145/3470496.3527405,Uses,,"To efficiently train these models, a variety of techniques have been used to exploit both pipelined (model) parallelism [30][19] and data (mini-batch) parallelism.",yes,software-scheduled routing algorithm allows the automatic parallelizing compiler to load balance the global links of the Dragonfly network,yes,pipeline parallelism,,background,background
351,SVD in recommender systems,Application of Dimensionality Reduction in Recommender System - A Case Study,http://www.aaai.org/Papers/Workshops/2006/WS-06-10/WS06-10-005.pdf,Background,,"Collaborative filtering algorithms range from the simple nearest-neighbor methods (Breese, Heckerman, & Kadie 1998; Resnick et al. 1994; Sarwar et al. 2001) to more complex machine learning based methods such as graph based methods (Aggarwal et al. 1999; Huang, Chen, & Zeng 2004), linear algebra based methods (Billsus & Pazzani 1998; Sarwar et al. 2000; Goldberg et al. 2001; Marlin & Zemel 2004; Rennie & Srebro 2005; DeCoste 2006), and probabilistic methods (Hofmann & Puzicha 1999; Pennock et al. 2000; Popescul et al. 2001; Karypis 2001; Deshpande & Karypis 2004).",yes,MAD 6.00,no,,,background,background
352,AlphaFold 2,Single-sequence protein structure prediction using a language model and deep learning,https://www.biorxiv.org/content/biorxiv/early/2023/01/20/2023.01.18.524637.full.pdf,Background,,"The a-helical CTD conformation was also missed by RoseTTAfold3 and RGN256, an MSA-independent deep learning method that outperforms AlphaFold2 on orphan protein sequences (Extended Data Figure 3).",no,,no,,,differences,differences
353,NASv3 (CIFAR-10),Neural Architecture Search with Reinforcement Learning,http://arxiv.org/pdf/2301.01299,Background,,"On the other hand, NAS techniques [181] have been widely used to search a crafted architecture based on the data in each device, thus leading to the model heterogeneity situation.",no,,no,,,background,background
354,Bayesian automated hyperparameter tuning,Practical Bayesian Optimization of Machine Learning Algorithms,https://www.mdpi.com/2075-163X/12/12/1621/pdf?version=1671195392,Background,,"Contemporary HPO algorithms can be mainly divided into grid-based search (grid), Bayesian optimization (Bayesian), gradient-based optimization (gradient-based), and population-based optimization (evolutionary algorithm, genetic algorithm, etc.), among which the grid search and Bayes-based optimization are the most Minerals 2022, 12, 1621 3 of 25 popular [104–110]",yes,random search-GBDT,no,,,background,background
355,W2v-BERT,w2v-BERT: Combining Contrastive Learning and Masked Language Modeling for Self-Supervised Speech Pre-Training,https://arxiv.org/pdf/2303.01664,Uses,,"For the input feature, instead of a log-mel spectrogram used in conventional methods [1,4], we use a speech representation extracted from w2v-BERT [20], an SSL model trained on degraded speech samples.",yes,Miipher,yes,w2v-BERT,,differences,differences
356,DINOv2,DINOv2: Learning Robust Visual Features without Supervision,https://arxiv.org/pdf/2302.14051,Background,,"Concurrent work (Oquab et al., 2023) attempts to address this by adding a “onetime” automatic data curation step that keeps only the most relevant images from a static web crawl dataset",no,,no,,,background,background
357,NTM,Neural Turing Machines,https://arxiv.org/pdf/2211.06441,Background,,"Environment forcing also enables a neural network to access long-range, persistent memory in a
very different way than previous approaches, such as LSTM (Hochreiter & Schmidhuber, 1997),
Neural Turing Machines (Graves et al., 2014), or Memory Networks (Weston et al., 2014). These
methods can be thought of as improving long-range memory by alleviating difficulties associated
with back-propagating through many time-steps",no,,no,,,background,background
358,M6-T,M6-T: Exploring Sparse Expert Models and Beyond Anonymous ACL submission,https://aclanthology.org/2023.findings-eacl.180.pdf,Background,,"Following this, M6- T (Yang et al., 2021) splits experts into k prototypes (i.e., groups of experts).",no,,no,,,background,background
359,DeepNet,"DeepNet: Scaling Transformers to 1, 000 Layers",http://arxiv.org/pdf/2306.02701,Background,,"For example, ResNet101[8] has 101 layers, Swin-L[9] has 120 layers and DeepNet even has 1000 layers [10].",no,,no,,,background,background
360,Cross-Lingual POS Tagger,Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections,https://www.aclweb.org/anthology/E17-1084.pdf,Background,,"Crosslingual word embeddings can also be used in transfer learning, where the source model is trained on one language and applied directly to another language; this is suitable for the low-resource scenario (Yarowsky and Ngai, 2001; Duong et al., 2015b; Das and Petrov, 2011; Tackstr ¨ om et al., ¨ 2012).",yes,multilingual joint training model with explicit mapping,no,,,background,background
