model.name,model.title,citation.openAccessPdf,How does it use <model.name> ?,Secondary use of the <model.name> (if applicable),Citation Sentence,Does the paper introduce a new model?,"If yes, what is the name of the model? (not named is fine)",Does the paper use AI model?,"If yes, which model it is using?",Notes
Big-Little Net (speech),Big-Little Net: An Efficient Multi-Scale Feature Representation for Visual and Speech Recognition,https://www.frontiersin.org/articles/10.3389/fonc.2022.925903/pdf,,,,,,,,
LSTM (2018),An Empirical Evaluation of Generic Convolutional and Recurrent Networks for Sequence Modeling,https://www.frontiersin.org/articles/10.3389/fnagi.2022.1027224/pdf,,,,,,,,
LeNet-5,Gradient-based learning applied to document recognition,https://arxiv.org/pdf/2312.04862,,,,,,,,
Maxout Networks,Maxout Networks,http://arxiv.org/pdf/2301.11663,,,,,,,,
BiLSTM for Speech,Framewise phoneme classification with bidirectional LSTM and other neural network architectures,http://arxiv.org/pdf/2305.12640,,,,,,,,
ContextNet + Noisy Student,Improved Noisy Student Training for Automatic Speech Recognition,http://arxiv.org/pdf/2210.07677,,,,,,,,
Large regularized LSTM,Recurrent Neural Network Regularization,https://www.mdpi.com/1424-8220/23/18/7869/pdf?version=1694616214,,,,,,,,
BERT-Large-CAS (PTB+WT2+WT103),Language Models with Transformers,https://aclanthology.org/2021.emnlp-main.133.pdf,,,,,,,,
AlphaFold 2,Single-sequence protein structure prediction using a language model and deep learning,https://arxiv.org/pdf/2212.03456,,,,,,,,
ResNeXt-101 32x48d,Exploring the Limits of Weakly Supervised Pretraining,https://arxiv.org/pdf/2106.03149,,,,,,,,
MLP as Bayesian Approximator,The multilayer perceptron as an approximation to a Bayes optimal discriminant function,https://arxiv.org/pdf/1711.08752,,,,,,,,
TrellisNet,Trellis Networks for Sequence Modeling,http://arxiv.org/pdf/2209.12951,,,,,,,,
NASNet-A,Learning Transferable Architectures for Scalable Image Recognition,https://link.springer.com/content/pdf/10.1007/s44267-023-00006-x.pdf,,,,,,,,
DETR,End-to-End Object Detection with Transformers,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/13E80EA6A425B6AC3D91D06FEC7E7C99/S1323358023000644a.pdf/div-class-title-radiogalaxynet-dataset-and-novel-computer-vision-algorithms-for-the-detection-of-extended-radio-galaxies-and-infrared-hosts-div.pdf,,,,,,,,
FixRes ResNeXt-101 WSL,Fixing the train-test resolution discrepancy,https://arxiv.org/pdf/2110.14819,,,,,,,,
ADALINE,Adaptive switching circuits,https://www.nature.com/articles/srep14730.pdf,,,,,,,,
AlexNet,ImageNet classification with deep convolutional neural networks,https://www.nature.com/articles/s41598-024-51687-3.pdf,,,,,,,,
OPT-175B,OPT: Open Pre-trained Transformer Language Models,http://arxiv.org/pdf/2306.04441,,,,,,,,
DINOv2,DINOv2: Learning Robust Visual Features without Supervision,http://arxiv.org/pdf/2306.13731,,,,,,,,
Visualizing CNNs,Visualizing and Understanding Convolutional Networks,https://www.mdpi.com/2075-4418/13/19/3063/pdf?version=1695741728,,,,,,,,
Generative BST,Recipes for Building an Open-Domain Chatbot,http://arxiv.org/pdf/2212.09588,,,,,,,,
NetTalk (transcription),Parallel Networks that Learn to Pronounce English Text,https://openresearch.surrey.ac.uk/view/delivery/44SUR_INST/12139326630002346/13140595080002346,,,,,,,,
Inceptionv4,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",https://www.mdpi.com/2227-9032/11/14/2068/pdf?version=1689768797,,,,,,,,
YOLOv3,YOLOv3: An Incremental Improvement,https://ctujs.ctu.edu.vn/index.php/ctujs/article/download/685/652,,,,,,,,
ResNeXt-50,Aggregated Residual Transformations for Deep Neural Networks,https://lirias.kuleuven.be/bitstream/20.500.12942/709285/2/finalManuscript_xpress.pdf,,,,,,,,
ViT-Base/32,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://www.mdpi.com/2079-9292/13/3/471/pdf?version=1706007406,,,,,,,,
TransE,Translating Embeddings for Modeling Multi-relational Data,https://www.ijcai.org/proceedings/2023/0259.pdf,,,,,,,,
ProGen2-xlarge,ProGen2: Exploring the Boundaries of Protein Language Models,https://www.biorxiv.org/content/biorxiv/early/2022/12/27/2022.12.07.519495.full.pdf,,,,,,,,
Bidirectional RNN,Bidirectional recurrent neural networks,https://dl.acm.org/doi/pdf/10.1145/3643893,,,,,,,,
Residual Dense Network,Residual Dense Network for Image Super-Resolution,https://dl.acm.org/doi/pdf/10.1145/3510548.3519378,,,,,,,,
Two-stream ConvNets for action recognition,Two-Stream Convolutional Networks for Action Recognition in Videos,https://journalofbigdata.springeropen.com/counter/pdf/10.1186/s40537-023-00779-4,,,,,,,,
iGPT-XL,Generative Pretraining From Pixels,https://arxiv.org/pdf/2204.13101,,,,,,,,
PolyCoder,A systematic evaluation of large language models of code,http://arxiv.org/pdf/2212.09248,,,,,,,,
MoE,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,http://arxiv.org/pdf/2305.13999,,,,,,,,
Deeply-recursive ConvNet,Deeply-Recursive Convolutional Network for Image Super-Resolution,https://arxiv.org/pdf/2207.12941,,,,,,,,
NÜWA,NÜWA: Visual Synthesis Pre-training for Neural visUal World creAtion,https://arxiv.org/pdf/2309.14623,,,,,,,,
VD-LSTM+REAL Large,Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling,https://www.aclweb.org/anthology/P18-1085.pdf,,,,,,,,
CapsNet (MNIST),Dynamic Routing Between Capsules,https://www.mdpi.com/2072-4292/15/19/4804/pdf?version=1696242390,,,,,,,,
Histograms of Oriented Gradients,Histograms of oriented gradients for human detection,https://www.mdpi.com/1424-8220/23/15/6774/pdf?version=1690783788,,,,,,,,
PaLI,PaLI: A Jointly-Scaled Multilingual Language-Image Model,https://arxiv.org/pdf/2310.04869,,,,,,,,
NPLM,A Neural Probabilistic Language Model,https://www.mdpi.com/2073-8994/14/4/703/pdf?version=1648633629,,,,,,,,
BART-large,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",https://arxiv.org/pdf/2310.00741,,,,,,,,
Diabetic Retinopathy Detection Net,Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs.,https://www.nature.com/articles/s41598-022-18785-6.pdf,,,,,,,,
DOT(S)-RNN,How to Construct Deep Recurrent Neural Networks,https://www.aclweb.org/anthology/K18-1015.pdf,,,,,,,,
ESM1-670M (UR50/D),Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences,https://www.biorxiv.org/content/biorxiv/early/2023/05/05/2023.05.04.539497.full.pdf,,,,,,,,
NÜWA,NÜWA: Visual Synthesis Pre-training for Neural visUal World creAtion,https://arxiv.org/pdf/2205.04421,,,,,,,,
PolyCoder,A systematic evaluation of large language models of code,https://arxiv.org/pdf/2307.05950,,,,,,,,
Immediate trihead,Immediate-Head Parsing for Language Models,http://www.cs.pitt.edu/~hwa/nle04draft.pdf,,,,,,,,
Sandwich Transformer,Improving Transformer Models by Reordering their Sublayers,https://aclanthology.org/2021.emnlp-main.446.pdf,,,,,,,,
EMDR,End-to-End Training of Multi-Document Reader and Retriever for Open-Domain Question Answering,https://arxiv.org/pdf/2206.14989,,,,,,,,
Neural Architecture Search with base 8 and shared embeddings,Neural Architecture Search with Reinforcement Learning,https://downloads.hindawi.com/journals/jhe/2023/4597445.pdf,,,,,,,,
OPT-175B,OPT: Open Pre-trained Transformer Language Models,http://arxiv.org/pdf/2305.15594,,,,,,,,
LUKE,LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention,https://arxiv.org/pdf/2310.00299,,,,,,,,
Culturome,Quantitative Analysis of Culture Using Millions of Digitized Books,https://www.aclweb.org/anthology/2020.findings-emnlp.259.pdf,,,,,,,,
BatchNorm,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,http://apjcriweb.org/content/vol9no11/9.pdf,,,,,,,,
Residual Dense Network,Residual Dense Network for Image Super-Resolution,http://arxiv.org/pdf/2207.01831,,,,,,,,
ProGen2-xlarge,ProGen2: Exploring the Boundaries of Protein Language Models,https://arxiv.org/pdf/2308.16259,,,,,,,,
BART-large,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",https://arxiv.org/pdf/2310.05280,,,,,,,,
Greedy layer-wise DNN training,Greedy Layer-Wise Training of Deep Networks,https://www.mdpi.com/1424-8220/22/18/6887/pdf?version=1663038263,,,,,,,,
iGPT-L,Generative Pretraining From Pixels,https://arxiv.org/pdf/2111.11418,,,,,,,,
Pluribus,Superhuman AI for multiplayer poker,https://ojs.aaai.org/index.php/AAAI/article/download/17350/17157,,,,,,,,
GLIDE,GLIDE: Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion Models,https://arxiv.org/pdf/2305.04063,,,,,,,,
Fully Convolutional Networks,Fully convolutional networks for semantic segmentation,https://www.research-collection.ethz.ch/bitstream/20.500.11850/641570/1/IEEE_SENSORS_2023_Armasuisse_Sentinel.pdf,,,,,,,,
GPT-NeoX-20B,GPT-NeoX-20B: An Open-Source Autoregressive Language Model,https://arxiv.org/pdf/2309.13734,,,,,,,,
PaLM-E,PaLM-E: An Embodied Multimodal Language Model,https://arxiv.org/pdf/2305.10912,,,,,,,,
Sparse coding model for V1 receptive fields,Sparse coding with an overcomplete basis set: A strategy employed by V1?,https://www.mdpi.com/1424-8220/19/14/3216/pdf?version=1563768688,,,,,,,,
Chinchilla,Training Compute-Optimal Large Language Models,https://www.biorxiv.org/content/biorxiv/early/2023/07/08/2023.07.06.547963.full.pdf,,,,,,,,
Flan-PaLM 540B,Scaling Instruction-Finetuned Language Models,https://arxiv.org/pdf/2309.12616,,,,,,,,
AlphaFold,Improved protein structure prediction using potentials from deep learning,https://bmcbiol.biomedcentral.com/counter/pdf/10.1186/s12915-023-01651-w,,,,,,,,
SENet (ImageNet),Squeeze-and-Excitation Networks,https://www.mdpi.com/2076-2615/14/3/458/pdf?version=1706629250,,,,,,,,
ResNet-1001,Identity Mappings in Deep Residual Networks,https://www.grapeinsight.in/index.php/gi/article/download/10/8,,,,,,,,
Iterative Bootstrapping WSD,Unsupervised Word Sense Disambiguation Rivaling Supervised Methods,https://arxiv.org/pdf/2307.12576,,,,,,,,
Tagging via Viterbi Decoding,Discriminative Training Methods for Hidden Markov Models: Theory and Experiments with Perceptron Algorithms,https://doi.org/10.3115/v1/p15-2076,,,,,,,,
Context-dependent RNN,Context dependent recurrent neural network language model,https://aclanthology.org/2021.acl-long.474.pdf,,,,,,,,
Population-based DRL,Human-level performance in 3D multiplayer games with population-based reinforcement learning,https://www.frontiersin.org/articles/10.3389/frai.2023.804682/pdf,,,,,,,,
ProxylessNAS,ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware,http://arxiv.org/pdf/2203.08734,,,,,,,,
BigChaos 2008,The BigChaos Solution to the Netflix Prize 2008,https://peerj.com/articles/3644.pdf,,,,,,,,
DistilBERT,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",https://arxiv.org/pdf/2309.08351,,,,,,,,
Two-stream ConvNets for action recognition,Two-Stream Convolutional Networks for Action Recognition in Videos,http://arxiv.org/pdf/2301.10492,,,,,,,,
Prototypical networks,Prototypical Networks for Few-shot Learning,https://arxiv.org/pdf/2309.08944,,,,,,,,
Elastic weight consolidation,Overcoming catastrophic forgetting in neural networks,https://arxiv.org/pdf/2309.03964,,,,,,,,
ResNet-50 Billion-scale,Billion-scale semi-supervised learning for image classification,https://www.nature.com/articles/s41593-023-01442-0.pdf,,,,,,,,
Error Propagation,Learning internal representations by error propagation,https://www.mdpi.com/2306-5354/10/10/1209/pdf?version=1697515953,,,,,,,,
GNMT,Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation,https://ojs.aaai.org/index.php/AAAI/article/download/25222/24994,,,,,,,,
ViT-G/14 (LiT),LiT: Zero-Shot Transfer with Locked-image text Tuning,https://arxiv.org/pdf/2310.08255,,,,,,,,
SimCLR,A Simple Framework for Contrastive Learning of Visual Representations,https://www.biorxiv.org/content/biorxiv/early/2023/04/29/2023.04.28.538691.full.pdf,,,,,,,,
ERNIE-GEN (large),ERNIE-GEN: An Enhanced Multi-Flow Pre-training and Fine-tuning Framework for Natural Language Generation,https://ojs.aaai.org/index.php/AAAI/article/download/17544/17351,,,,,,,,
NoisyNet-Dueling,Noisy Networks for Exploration,http://arxiv.org/pdf/2210.01620,,,,,,,,
Advantage Learning,Increasing the Action Gap: New Operators for Reinforcement Learning,https://ojs.aaai.org/index.php/AAAI/article/download/10887/10746,,,,,,,,
DD-PPO,DD-PPO: Learning Near-Perfect PointGoal Navigators from 2.5 Billion Frames,https://arxiv.org/pdf/2206.06994,,,,,,,,
MobileNetV2,MobileNetV2: Inverted Residuals and Linear Bottlenecks,https://www.mdpi.com/1424-8220/23/24/9681/pdf?version=1701955361,,,,,,,,
Adversarial Joint Adaptation Network (ResNet),Deep Transfer Learning with Joint Adaptation Networks,https://link.springer.com/content/pdf/10.1007/s40747-023-01094-4.pdf,,,,,,,,
Word2Vec (small),Distributed Representations of Words and Phrases and their Compositionality,https://arxiv.org/pdf/2310.08954,,,,,,,,
GPT-4,GPT-4 Technical Report,https://www.medrxiv.org/content/medrxiv/early/2024/02/08/2024.02.08.24302376.full.pdf,,,,,,,,
StarGAN v2,StarGAN v2: Diverse Image Synthesis for Multiple Domains,https://arxiv.org/pdf/2111.13105,,,,,,,,
BASIC-L + Lion,Symbolic Discovery of Optimization Algorithms,https://arxiv.org/pdf/2309.02373,,,,,,,,
Transformer local-attention (NesT-B),"Nested Hierarchical Transformer: Towards Accurate, Data-Efficient and Interpretable Visual Understanding",https://ieeexplore.ieee.org/ielx7/7433213/10169864/10098158.pdf,,,,,,,,
OpenAI Five,Dota 2 with Large Scale Deep Reinforcement Learning,http://arxiv.org/pdf/2205.12258,,,,,,,,
Constituency-Tree LSTM,Improved Semantic Representations From Tree-Structured Long Short-Term Memory Networks,https://downloads.hindawi.com/journals/mpe/2021/2390958.pdf,,,,,,,,
ADM,Diffusion Models Beat GANs on Image Synthesis,https://arxiv.org/pdf/2309.16750,,,,,,,,
GPipe (Amoeba),GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,https://www.mdpi.com/2079-9292/11/10/1525/pdf?version=1652928553,,,,,,,,
LSTM-Char-Large,Character-Aware Neural Language Models,https://www.aclweb.org/anthology/D19-1279.pdf,,,,,,,,
BellKor 2007,The BellKor solution to the Netflix Prize,https://www.frontiersin.org/articles/10.3389/fdata.2022.923397/pdf,,,,,,,,
Switch,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,http://arxiv.org/pdf/2303.11934,,,,,,,,
BellKor 2007,The BellKor solution to the Netflix Prize,http://ceur-ws.org/Vol-720/Airoldi.pdf,,,,,,,,
MS-CNN,A Unified Multi-scale Deep Convolutional Neural Network for Fast Object Detection,https://www.mdpi.com/2220-9964/8/9/421/pdf?version=1568801034,,,,,,,,
Heuristic problem solving for AI,Steps toward Artificial Intelligence,https://www.mdpi.com/2227-7390/12/2/214/pdf?version=1704790794,,,,,,,,
Photo-Geometric Autoencoder,Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild,http://arxiv.org/pdf/2104.03515,,,,,,,,
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),Improved Language Modeling by Decoding the Past,https://ojs.aaai.org/index.php/AAAI/article/download/5958/5814,,,,,,,,
base LM+GNN+kNN,GNN-LM: Language Modeling based on Global Contexts via GNN,http://arxiv.org/pdf/2304.09058,,,,,,,,
BIDAF,Bidirectional Attention Flow for Machine Comprehension,https://arxiv.org/pdf/2202.06080,,,,,,,,
Transformer ELMo,Dissecting Contextual Word Embeddings: Architecture and Representation,http://repositori.upf.edu/bitstream/10230/45237/1/accuosto_DKE_min.pdf,,,,,,,,
ESM1-670M (UR50/D),Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences,https://www.frontiersin.org/articles/10.3389/fgene.2022.935351/pdf,,,,,,,,
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",FRAGE: Frequency-Agnostic Word Representation,https://arxiv.org/pdf/2210.05098,,,,,,,,
GPipe (Amoeba),GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,https://arxiv.org/pdf/2202.01306,,,,,,,,
Back-propagation,Learning representations by back-propagating errors,https://storage.googleapis.com/jnl-sljo-j-sljas1-files/journals/1/articles/8098/651ba49edc58d.pdf,,,,,,,,
Megatron-BERT,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,https://aclanthology.org/2022.findings-emnlp.545.pdf,,,,,,,,
SENet (ImageNet),Squeeze-and-Excitation Networks,https://www.mdpi.com/2071-1050/15/22/15857/pdf?version=1699691079,,,,,,,,
T5-11B,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://arxiv.org/pdf/2312.17349,,,,,,,,
"Listen, Attend and Spell","Listen, attend and spell: A neural network for large vocabulary conversational speech recognition",https://jcsce.vnu.edu.vn/index.php/jcsce/article/download/321/134,,,,,,,,
PSPNet,Pyramid Scene Parsing Network,https://ieeexplore.ieee.org/ielx7/76/4358651/10102479.pdf,,,,,,,,
ShuffleNet v1,ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices,http://arxiv.org/pdf/2303.16900,,,,,,,,
Context-dependent RNN,Context dependent recurrent neural network language model,https://ojs.aaai.org/index.php/AAAI/article/download/11967/11826,,,,,,,,
ProgressiveGAN,"Progressive Growing of GANs for Improved Quality, Stability, and Variation",https://www.ijcai.org/proceedings/2023/0038.pdf,,,,,,,,
ProteinBERT,ProteinBERT: a universal deep-learning model of protein sequence and function,http://manuscript.elsevier.com/S0959440X2200197X/pdf/S0959440X2200197X.pdf,,,,,,,,
RETRO-7B,Improving language models by retrieving from trillions of tokens,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10380590.pdf,,,,,,,,
Maximum Entropy Models for machine translation,Discriminative Training and Maximum Entropy Models for Statistical Machine Translation,http://transducens.dlsi.ua.es/repositori/transducens/pubs/214/sanchez06a.pdf,,,,,,,,
AlexNet,ImageNet classification with deep convolutional neural networks,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0297655&type=printable,,,,,,,,
Segment Anything Model,Segment Anything,https://arxiv.org/pdf/2309.11745,,,,,,,,
Binarized Neural Network (MNIST),BinaryNet: Training Deep Neural Networks with Weights and Activations Constrained to +1 or -1,https://www.ijcai.org/proceedings/2018/0336.pdf,,,,,,,,
FAIRSEQ Adaptive Inputs,"fairseq: A Fast, Extensible Toolkit for Sequence Modeling",https://aclanthology.org/2022.iwslt-1.5.pdf,,,,,,,,
SVD in recommender systems,Application of Dimensionality Reduction in Recommender System - A Case Study,http://www0.cs.ucl.ac.uk/staff/l.capra/publications/PID1165631.pdf,,,,,,,,
Elastic weight consolidation,Overcoming catastrophic forgetting in neural networks,https://arxiv.org/pdf/2308.16567,,,,,,,,
Back-propagation,Learning representations by back-propagating errors,https://arxiv.org/pdf/2308.09728,,,,,,,,
GPT,Improving Language Understanding by Generative Pre-Training,https://arxiv.org/pdf/2310.05035,,,,,,,,
BigBiGAN,Large Scale Adversarial Representation Learning,http://arxiv.org/pdf/2208.08056,,,,,,,,
RNNsearch-50*,Neural Machine Translation by Jointly Learning to Align and Translate,https://arxiv.org/pdf/2308.03051,,,,,,,,
Q-learning,Learning from delayed rewards,http://arxiv.org/pdf/2301.13799,,,,,,,,
RBM-tuning,A Practical Guide to Training Restricted Boltzmann Machines,https://www.mdpi.com/2076-3417/10/6/1994/pdf,,,,,,,,
Visualizing CNNs,Visualizing and Understanding Convolutional Networks,https://www.mdpi.com/2072-4292/15/21/5204/pdf?version=1698890237,,,,,,,,
SpecAugment,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,https://arxiv.org/pdf/2304.00173,,,,,,,,
BPE,Neural Machine Translation of Rare Words with Subword Units,https://www.biorxiv.org/content/biorxiv/early/2023/06/13/2023.06.12.544594.full.pdf,,,,,,,,
Part-of-sentence tagging model,End-to-end Sequence Labeling via Bi-directional LSTM-CNNs-CRF,https://www.aclweb.org/anthology/2020.acl-main.750.pdf,,,,,,,,
Sparse digit recognition SVM,Simple Method for High-Performance Digit Recognition Based on Sparse Coding,https://arxiv.org/pdf/1509.09187,,,,,,,,
BellKor 2008,The BellKor 2008 Solution to the Netflix Prize,https://www.mdpi.com/2072-6694/14/5/1291/pdf?version=1646217040,,,,,,,,
Stable Diffusion XL,SDXL: Improving Latent Diffusion Models for High-Resolution Image Synthesis,https://arxiv.org/pdf/2310.08579,,,,,,,,
ViT-Huge/14,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://www.frontiersin.org/articles/10.3389/fpls.2023.1328952/pdf?isPublishedV2=False,,,,,,,,
ViT-Base/32,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://vciba.springeropen.com/counter/pdf/10.1186/s42492-024-00155-w,,,,,,,,
AudioLM,AudioLM: A Language Modeling Approach to Audio Generation,https://arxiv.org/pdf/2306.10521,,,,,,,,
DeepNet,"DeepNet: Scaling Transformers to 1, 000 Layers",http://arxiv.org/pdf/2305.15781,,,,,,,,
NeuMF (Pinterest),Neural Collaborative Filtering,http://arxiv.org/pdf/2303.04561,,,,,,,,
Visualizing CNNs,Visualizing and Understanding Convolutional Networks,http://arxiv.org/pdf/2306.03745,,,,,,,,
CTC-Trained LSTM,Connectionist temporal classification: labelling unsegmented sequence data with recurrent neural networks,https://arxiv.org/pdf/2309.13102,,,,,,,,
DNABERT,DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome,https://www.biorxiv.org/content/biorxiv/early/2023/03/10/2023.03.10.532047.full.pdf,,,,,,,,
CoAtNet,CoAtNet: Marrying Convolution and Attention for All Data Sizes,https://arxiv.org/pdf/2301.10038,,,,,,,,
Generative BST,Recipes for Building an Open-Domain Chatbot,https://dl.acm.org/doi/pdf/10.1145/3552310,,,,,,,,
Error Propagation,Learning internal representations by error propagation,https://olj.onlinelearningconsortium.org/index.php/olj/article/download/4055/1308,,,,,,,,
Go-explore,"First return, then explore",https://arxiv.org/pdf/2211.07627,,,,,,,,
ISS,Learning Intrinsic Sparse Structures within Long Short-term Memory,https://arxiv.org/pdf/1805.08941,,,,,,,,
MCDNN (MNIST),Multi-column deep neural networks for image classification,https://www.mdpi.com/2227-9717/10/7/1406/pdf?version=1658223870,,,,,,,,
EDSR,Enhanced Deep Residual Networks for Single Image Super-Resolution,https://arxiv.org/pdf/2307.07240,,,,,,,,
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",Breaking the Softmax Bottleneck: A High-Rank RNN Language Model,https://ojs.bonviewpress.com/index.php/jdsis/article/download/1131/568,,,,,,,,
EfficientNet-L2,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,https://www.frontiersin.org/articles/10.3389/fpls.2023.1324491/pdf?isPublishedV2=False,,,,,,,,
ProGen2-xlarge,ProGen2: Exploring the Boundaries of Protein Language Models,https://www.biorxiv.org/content/biorxiv/early/2022/12/19/2022.12.15.519894.full.pdf,,,,,,,,
DBLSTM,Hybrid speech recognition with Deep Bidirectional LSTM,https://www.techrxiv.org/articles/preprint/Deep_Neural_Networks_for_Rapid_Simulation_of_Planar_Microwave_Circuits_Based_on_their_Layouts/19372862/1/files/34406264.pdf,,,,,,,,
VGG19,Very Deep Convolutional Networks for Large-Scale Image Recognition,https://jurnal.iaii.or.id/index.php/RESTI/article/download/5376/876,,,,,,,,
RBM Image Classifier,Learning Multiple Layers of Features from Tiny Images,https://arxiv.org/pdf/2312.16475,,,,,,,,
BLOOMZ-176B,Crosslingual Generalization through Multitask Finetuning,http://arxiv.org/pdf/2305.13707,,,,,,,,
Decoupled weight decay regularization,Decoupled Weight Decay Regularization,https://www.mdpi.com/1424-8220/24/3/777/pdf?version=1706160514,,,,,,,,
Unsupervised Scale-Invariant Learning,Object class recognition by unsupervised scale-invariant learning,https://arxiv.org/pdf/1411.5268,,,,,,,,
Deep Belief Nets,A Fast Learning Algorithm for Deep Belief Nets,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-023-01092-1,,,,,,,,
iGPT-XL,Generative Pretraining From Pixels,https://arxiv.org/pdf/2105.02358,,,,,,,,
NASv3 (CIFAR-10),Neural Architecture Search with Reinforcement Learning,https://link.springer.com/content/pdf/10.1007/s44163-022-00035-3.pdf,,,,,,,,
data2vec (vision),"data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",https://arxiv.org/pdf/2310.08225,,,,,,,,
BART-large,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",https://ieeexplore.ieee.org/ielx7/7333/4359219/10248031.pdf,,,,,,,,
BPL,Human-level concept learning through probabilistic program induction,https://arxiv.org/pdf/2201.05151,,,,,,,,
MV-RNN,Semantic Compositionality through Recursive Matrix-Vector Spaces,https://www.aclweb.org/anthology/D19-1503.pdf,,,,,,,,
DeBERTa,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,http://arxiv.org/pdf/2304.04746,,,,,,,,
TD(0),An Adaptive Optimal Controller for Discrete-Time Markov Environments,https://ediss.uni-goettingen.de/bitstream/11858/00-1735-0000-000D-F171-5/1/kolodziejski.pdf,,,,,,,,
Unsupervised High-level Feature Learner,Building high-level features using large scale unsupervised learning,https://www.frontiersin.org/articles/10.3389/fdata.2020.579774/pdf,,,,,,,,
MS-CNN,A Unified Multi-scale Deep Convolutional Neural Network for Fast Object Detection,https://arxiv.org/pdf/1903.01864,,,,,,,,
Fisher Kernel GMM,Fisher Kernels on Visual Vocabularies for Image Categorization,http://pure.aber.ac.uk/ws/files/25248304/Lanihun_Olalejan_Abebayo.pdf,,,,,,,,
HuBERT,HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units,https://arxiv.org/pdf/2309.17395,,,,,,,,
DeepLabV3,Rethinking Atrous Convolution for Semantic Image Segmentation,https://arxiv.org/pdf/2308.02287,,,,,,,,
ConvNet similarity metric,"Learning a similarity metric discriminatively, with application to face verification",https://bmcbioinformatics.biomedcentral.com/counter/pdf/10.1186/s12859-022-04752-5,,,,,,,,
Gato,A Generalist Agent,https://arxiv.org/pdf/2309.03895,,,,,,,,
DCN+,DCN+: Mixed Objective and Deep Residual Coattention for Question Answering,https://www.aclweb.org/anthology/P19-1469.pdf,,,,,,,,
Image generation,Decision-Making with Auto-Encoding Variational Bayes,https://www.mdpi.com/1099-4300/25/12/1649/pdf?version=1702385581,,,,,,,,
FAIRSEQ Adaptive Inputs,"fairseq: A Fast, Extensible Toolkit for Sequence Modeling",http://arxiv.org/pdf/2305.15997,,,,,,,,
ProteinBERT,ProteinBERT: a universal deep-learning model of protein sequence and function,https://bmcbioinformatics.biomedcentral.com/counter/pdf/10.1186/s12859-023-05164-9,,,,,,,,
ProxylessNAS,ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware,http://arxiv.org/pdf/2302.05433,,,,,,,,
RNN+weight noise+dynamic eval,Generating Sequences With Recurrent Neural Networks,https://arxiv.org/pdf/2310.02619,,,,,,,,
Deep Belief Nets,A Fast Learning Algorithm for Deep Belief Nets,https://www.mdpi.com/1424-8220/23/14/6486/pdf?version=1689671256,,,,,,,,
CPM-Large,CPM: A Large-scale Generative Chinese Pre-trained Language Model,https://arxiv.org/pdf/2206.06315,,,,,,,,
Ankh_base,Ankh ☥: Optimized Protein Language Model Unlocks General-Purpose Modelling,https://www.biorxiv.org/content/biorxiv/early/2023/07/14/2023.07.05.547496.full.pdf,,,,,,,,
A3C FF hs,Asynchronous Methods for Deep Reinforcement Learning,https://www.mdpi.com/2076-3417/13/13/7594/pdf?version=1688027230,,,,,,,,
